timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136646015,4963,Add To Cart,201,Created,Cart Queue Pressure Test 2-1,text,true,,309,428,50,443,http://localhost:3000/carts/add,4963,0,2
1779136654720,5,Add To Cart,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Cart Queue Pressure Test 2-88,text,false,,2631,0,87,688,http://localhost:3000/carts/add,0,0,5
1779136654820,3,Add To Cart,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3000 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Cart Queue Pressure Test 2-89,text,false,,2631,0,87,684,http://localhost:3000/carts/add,0,0,3
1779136646292,10122,Add To Cart,201,Created,Cart Queue Pressure Test 2-3,text,true,,309,428,97,694,http://localhost:3000/carts/add,10122,0,2
1779136646316,11445,Add To Cart,201,Created,Cart Queue Pressure Test 2-4,text,true,,309,428,96,558,http://localhost:3000/carts/add,11445,0,3
1779136646355,12333,Add To Cart,201,Created,Cart Queue Pressure Test 2-5,text,true,,309,428,95,520,http://localhost:3000/carts/add,12333,0,3
1779136646116,13521,Add To Cart,201,Created,Cart Queue Pressure Test 2-2,text,true,,309,428,94,474,http://localhost:3000/carts/add,13521,0,2
1779136646515,13143,Add To Cart,201,Created,Cart Queue Pressure Test 2-6,text,true,,309,428,93,473,http://localhost:3000/carts/add,13143,0,3
1779136646615,14034,Add To Cart,201,Created,Cart Queue Pressure Test 2-7,text,true,,309,428,92,398,http://localhost:3000/carts/add,14034,0,3
1779136646716,14076,Add To Cart,201,Created,Cart Queue Pressure Test 2-8,text,true,,309,428,91,367,http://localhost:3000/carts/add,14076,0,3
1779136646817,13978,Add To Cart,201,Created,Cart Queue Pressure Test 2-9,text,true,,309,428,90,366,http://localhost:3000/carts/add,13978,0,2
1779136646917,14019,Add To Cart,201,Created,Cart Queue Pressure Test 2-10,text,true,,309,428,89,338,http://localhost:3000/carts/add,14019,0,2
1779136647093,14057,Add To Cart,201,Created,Cart Queue Pressure Test 2-11,text,true,,309,428,88,288,http://localhost:3000/carts/add,14057,0,2
1779136647116,14093,Add To Cart,201,Created,Cart Queue Pressure Test 2-12,text,true,,309,428,87,277,http://localhost:3000/carts/add,14093,0,2
1779136647216,14114,Add To Cart,201,Created,Cart Queue Pressure Test 2-13,text,true,,309,428,86,253,http://localhost:3000/carts/add,14114,0,2
1779136647315,14130,Add To Cart,201,Created,Cart Queue Pressure Test 2-14,text,true,,309,428,85,227,http://localhost:3000/carts/add,14130,0,3
1779136647414,14153,Add To Cart,201,Created,Cart Queue Pressure Test 2-15,text,true,,309,428,84,201,http://localhost:3000/carts/add,14153,0,1
1779136647514,14204,Add To Cart,201,Created,Cart Queue Pressure Test 2-16,text,true,,309,428,83,171,http://localhost:3000/carts/add,14204,0,2
1779136647616,14219,Add To Cart,201,Created,Cart Queue Pressure Test 2-17,text,true,,309,428,82,146,http://localhost:3000/carts/add,14219,0,4
1779136647715,14283,Add To Cart,201,Created,Cart Queue Pressure Test 2-18,text,true,,309,428,81,112,http://localhost:3000/carts/add,14283,0,3
1779136647915,14244,Add To Cart,201,Created,Cart Queue Pressure Test 2-20,text,true,,309,428,80,81,http://localhost:3000/carts/add,14244,0,2
1779136647892,14285,Add To Cart,201,Created,Cart Queue Pressure Test 2-19,text,true,,309,428,79,79,http://localhost:3000/carts/add,14285,0,3
1779136648016,14175,Add To Cart,201,Created,Cart Queue Pressure Test 2-21,text,true,,309,428,78,78,http://localhost:3000/carts/add,14175,0,2
1779136648115,14087,Add To Cart,201,Created,Cart Queue Pressure Test 2-22,text,true,,309,428,77,77,http://localhost:3000/carts/add,14087,0,2
1779136648216,13990,Add To Cart,201,Created,Cart Queue Pressure Test 2-23,text,true,,309,428,76,76,http://localhost:3000/carts/add,13990,0,2
1779136648416,13805,Add To Cart,201,Created,Cart Queue Pressure Test 2-25,text,true,,309,428,75,75,http://localhost:3000/carts/add,13805,0,2
1779136648315,13915,Add To Cart,201,Created,Cart Queue Pressure Test 2-24,text,true,,309,428,74,74,http://localhost:3000/carts/add,13915,0,2
1779136648591,13645,Add To Cart,201,Created,Cart Queue Pressure Test 2-26,text,true,,309,428,73,73,http://localhost:3000/carts/add,13645,0,3
1779136648617,13621,Add To Cart,201,Created,Cart Queue Pressure Test 2-27,text,true,,309,428,72,72,http://localhost:3000/carts/add,13621,0,3
1779136648716,13537,Add To Cart,201,Created,Cart Queue Pressure Test 2-28,text,true,,309,428,71,71,http://localhost:3000/carts/add,13537,0,3
1779136648816,13451,Add To Cart,201,Created,Cart Queue Pressure Test 2-29,text,true,,309,428,70,70,http://localhost:3000/carts/add,13451,0,1
1779136648916,13358,Add To Cart,201,Created,Cart Queue Pressure Test 2-30,text,true,,309,428,69,69,http://localhost:3000/carts/add,13358,0,4
1779136649017,13265,Add To Cart,201,Created,Cart Queue Pressure Test 2-31,text,true,,309,428,68,68,http://localhost:3000/carts/add,13265,0,2
1779136649116,13169,Add To Cart,201,Created,Cart Queue Pressure Test 2-32,text,true,,309,428,67,67,http://localhost:3000/carts/add,13169,0,4
1779136649215,13081,Add To Cart,201,Created,Cart Queue Pressure Test 2-33,text,true,,309,428,66,66,http://localhost:3000/carts/add,13081,0,3
1779136649390,12915,Add To Cart,201,Created,Cart Queue Pressure Test 2-34,text,true,,309,428,65,65,http://localhost:3000/carts/add,12915,0,2
1779136649415,12892,Add To Cart,201,Created,Cart Queue Pressure Test 2-35,text,true,,309,428,64,64,http://localhost:3000/carts/add,12892,0,2
1779136649516,12795,Add To Cart,201,Created,Cart Queue Pressure Test 2-36,text,true,,309,428,63,63,http://localhost:3000/carts/add,12795,0,3
1779136649615,12703,Add To Cart,201,Created,Cart Queue Pressure Test 2-37,text,true,,309,428,62,62,http://localhost:3000/carts/add,12703,0,3
1779136649815,12504,Add To Cart,201,Created,Cart Queue Pressure Test 2-39,text,true,,309,428,61,61,http://localhost:3000/carts/add,12504,0,3
1779136649715,12609,Add To Cart,201,Created,Cart Queue Pressure Test 2-38,text,true,,309,428,60,60,http://localhost:3000/carts/add,12609,0,3
1779136650015,12322,Add To Cart,201,Created,Cart Queue Pressure Test 2-41,text,true,,309,428,59,59,http://localhost:3000/carts/add,12322,0,4
1779136649916,12423,Add To Cart,201,Created,Cart Queue Pressure Test 2-40,text,true,,309,428,58,58,http://localhost:3000/carts/add,12423,0,3
1779136650117,12230,Add To Cart,201,Created,Cart Queue Pressure Test 2-42,text,true,,309,428,57,57,http://localhost:3000/carts/add,12230,0,2
1779136650216,12133,Add To Cart,201,Created,Cart Queue Pressure Test 2-43,text,true,,309,428,56,56,http://localhost:3000/carts/add,12133,0,4
1779136650314,12039,Add To Cart,201,Created,Cart Queue Pressure Test 2-44,text,true,,309,428,55,55,http://localhost:3000/carts/add,12039,0,3
1779136650516,11838,Add To Cart,201,Created,Cart Queue Pressure Test 2-46,text,true,,309,428,54,54,http://localhost:3000/carts/add,11838,0,2
1779136650616,11739,Add To Cart,201,Created,Cart Queue Pressure Test 2-47,text,true,,309,428,53,53,http://localhost:3000/carts/add,11739,0,3
1779136650790,11567,Add To Cart,201,Created,Cart Queue Pressure Test 2-48,text,true,,309,428,52,52,http://localhost:3000/carts/add,11566,0,3
1779136650816,11544,Add To Cart,201,Created,Cart Queue Pressure Test 2-49,text,true,,309,428,51,51,http://localhost:3000/carts/add,11544,0,2
1779136650416,11945,Add To Cart,201,Created,Cart Queue Pressure Test 2-45,text,true,,309,428,50,50,http://localhost:3000/carts/add,11945,0,5
1779136651115,11252,Add To Cart,201,Created,Cart Queue Pressure Test 2-52,text,true,,309,428,49,49,http://localhost:3000/carts/add,11252,0,4
1779136650916,11453,Add To Cart,201,Created,Cart Queue Pressure Test 2-50,text,true,,309,428,48,48,http://localhost:3000/carts/add,11453,0,4
1779136651216,11160,Add To Cart,201,Created,Cart Queue Pressure Test 2-53,text,true,,309,428,47,47,http://localhost:3000/carts/add,11160,0,2
1779136651016,11364,Add To Cart,201,Created,Cart Queue Pressure Test 2-51,text,true,,309,428,46,46,http://localhost:3000/carts/add,11364,0,3
1779136651416,10968,Add To Cart,201,Created,Cart Queue Pressure Test 2-55,text,true,,309,428,45,45,http://localhost:3000/carts/add,10968,0,2
1779136651792,10593,Add To Cart,201,Created,Cart Queue Pressure Test 2-58,text,true,,309,428,44,44,http://localhost:3000/carts/add,10593,0,2
1779136651317,11069,Add To Cart,201,Created,Cart Queue Pressure Test 2-54,text,true,,309,428,43,43,http://localhost:3000/carts/add,11069,0,5
1779136651516,10873,Add To Cart,201,Created,Cart Queue Pressure Test 2-56,text,true,,309,428,42,42,http://localhost:3000/carts/add,10873,0,3
1779136651555,10835,Add To Cart,201,Created,Cart Queue Pressure Test 2-57,text,true,,309,428,41,41,http://localhost:3000/carts/add,10835,0,2
1779136651754,10637,Add To Cart,201,Created,Cart Queue Pressure Test 2-59,text,true,,309,428,40,40,http://localhost:3000/carts/add,10637,0,2
1779136651916,10477,Add To Cart,201,Created,Cart Queue Pressure Test 2-60,text,true,,309,428,39,39,http://localhost:3000/carts/add,10477,0,2
1779136652017,10380,Add To Cart,201,Created,Cart Queue Pressure Test 2-61,text,true,,309,428,38,38,http://localhost:3000/carts/add,10380,0,2
1779136652117,10285,Add To Cart,201,Created,Cart Queue Pressure Test 2-62,text,true,,309,428,37,37,http://localhost:3000/carts/add,10285,0,2
1779136652293,10114,Add To Cart,201,Created,Cart Queue Pressure Test 2-63,text,true,,309,428,36,36,http://localhost:3000/carts/add,10114,0,2
